month,swh,mwd,mwp
1,2.5594446659088135,223.5337371826172,8.672192573547363
2,2.4512035846710205,222.8609161376953,8.457937240600586
3,2.3305516242980957,215.89053344726562,8.336121559143066
4,2.012345552444458,198.5333251953125,7.922118186950684
5,1.6582444906234741,183.36244201660156,7.444332122802734
6,1.4930928945541382,180.8757781982422,7.186599254608154
7,1.4103922843933105,170.85231018066406,7.082488059997559
8,1.4030847549438477,169.26148986816406,7.1245598793029785
9,1.7142878770828247,165.3789520263672,7.743569850921631
10,1.9986861944198608,177.55796813964844,8.050257682800293
11,2.2881081104278564,190.62005615234375,8.273468971252441
12,2.527886152267456,211.36915588378906,8.579079627990723
